ruta_relativa,tipo,bytes,fecha_modificacion_utc,sha256,duplicado_de,dimensiones_o_paginas,uso_propuesto
CAMI/ESTADOS DE WHATSAPP.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,359617,2026-06-09T14:41:54+00:00,cbd071ad82554c0e0e8052f85525a9185e0a3fd464c9342c011a5b23e3a52145,,,Archivo de investigación; revisar antes de publicar
CAMI/WEB - CAMI /WEB BOMBO.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1094013,2026-07-02T10:27:40+00:00,66b5e71685fff093791901536a8504303ef0e5fcc2ba8c1e5982563d9597cbd3,,,Archivo de investigación; revisar antes de publicar
Catalogo/Abril /27-4 CATÁLOGO INT/27-4.ai,application/postscript,401471,2026-04-27T11:25:18+00:00,894cda097661a7a85eb81024b02b30b55e2430d9de45154515240fb65291e3a9,,,Identidad oficial; selección visual y contraste
Catalogo/Abril /27-4 CATÁLOGO INT/27-4_CTÁLOGO INT.png,image/png,215627,2026-04-29T10:44:28+00:00,b4e57210fb696e925130456c207e8c1f97d0d29249a592a2ce88eab5cb8208c0,,2808x2738,Identidad oficial; selección visual y contraste
Catalogo/Abril /29-4 CATÁLOGO EXT/29-4.ai,application/postscript,408868,2026-04-29T22:22:42+00:00,02ebb89e0ee2d180c6d7e0f32a7b66fda983419e50abfaad59f55dd40bf91f8b,,,Identidad oficial; selección visual y contraste
Catalogo/Abril /29-4 CATÁLOGO EXT/29-4_catálogo ext premium.png,image/png,453088,2026-04-30T08:42:18+00:00,6798780083d41144e043bf509410aa7bd7601fe58435e2cb0c73b82cb78833b4,,2807x4496,Identidad oficial; selección visual y contraste
Catalogo/Agosto/4-8 exterior premium.jpg,image/jpeg,1163805,2026-08-04T10:27:34+00:00,772c131cf1dd71d3981451c0b35c5802caf39073ce43a5506cb2193e6a91e3b4,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Catalogo_Bombo-OCT.ai,application/postscript,541381,2025-10-28T14:18:46+00:00,94df1d9001520235ee2992e9e5fbe9f0a165ff0c421a0c6acb50cb713457ce7c,,,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/21-7 interior premium.jpg,image/jpeg,903658,2026-07-21T11:29:22+00:00,85e3f106b0defbffff4ec63a0893b837880977fc7ab019e571a61917ed50db9c,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/21-7 interior y exterior.ai,application/postscript,484015,2026-07-21T11:28:38+00:00,80e493d327204375b88cfb8ecaf5eb48ed5eefa83a9bfad8484fb4127ad610b5,,,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/21-7_exterior premium.jpg,image/jpeg,890838,2026-07-21T11:18:58+00:00,a0e8aba3c05c06def14f4188ab7f05258a500bf9ed177c76f9c2c2799e048aef,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/21-7_interior premium+.jpg,image/jpeg,1335856,2026-07-21T11:18:58+00:00,cfffa9b3dd42ef07adc2c310ddad1282f09545cbbf9f7e1da81a5641d41d5f58,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/comunicado_catalogo.jpg,image/jpeg,740638,2026-07-21T13:26:26+00:00,94ab5972f43a1ad2f1cf2a94d52e11e0fd1bc665b556e51600458f5bb42e007c,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/comunicado_estado.jpg,image/jpeg,810924,2026-07-21T13:26:26+00:00,a558fce690577498c1375ac66e16a036b646edfc17595a9ef6a89d025956fc51,,2250x4000,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/extracciones-estado02.jpg,image/jpeg,1004009,2026-07-21T12:16:24+00:00,f5c714af9256af5a1fcee5c0a79c0d3e4f7a493040427ab8106dfc4be88f69ef,,2250x4000,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/extracciones-estado03.jpg,image/jpeg,1455388,2026-07-21T12:16:24+00:00,3f0e01fc46696a4c1ee752d8c1554dca1c0799d7ed000d32bb36ad726e7d9257,,2250x4000,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/extracciones_catálogo.jpg,image/jpeg,1116988,2026-07-21T12:16:22+00:00,53b7f587790b07a842dabab944759a691e1d3f1e66b65ebb401d520579b841bc,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/extracciones_productos_catálogo.jpg,image/jpeg,996714,2026-07-22T19:06:28+00:00,404ff2c555d9da8c5271a3e90ebf202a660e8046aaf45582f8443a76b67f858f,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/extracciones_productos_estado.jpg,image/jpeg,1183940,2026-07-22T19:06:28+00:00,ccb586c6cf0dab0301a1a3eaacb6dc17f54c13a38bb355efe0a7484f6719de7d,,2250x4000,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/tarjeta beneficios_catálogo.jpg,image/jpeg,706510,2026-07-21T13:35:26+00:00,a39c44b8fc9e4a7e48da5d13df10dc9a01b3c00efc9550227f3677ae03576455,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Julio/21-7/tarjeta beneficios_estado.jpg,image/jpeg,773182,2026-07-21T13:35:26+00:00,1207f31db95c1333210af4f8271226bcbc05df7fd04c390b56556f7a53a67bcf,,2250x4000,Identidad oficial; selección visual y contraste
Catalogo/Julio/27-7/21-7_interior premium+.jpg,image/jpeg,1335856,2026-07-27T09:22:14+00:00,cfffa9b3dd42ef07adc2c310ddad1282f09545cbbf9f7e1da81a5641d41d5f58,Catalogo/Julio/21-7/21-7_interior premium+.jpg,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Julio/27-7/27-7 interior premium-03.jpg,image/jpeg,1224047,2026-07-27T10:20:52+00:00,053640b3723d613370daef765b2823ee0c70c48d33284c1614f4481ca15ff8ca,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Julio/27-7/Interior premium+Promos 15 y 30g-04.jpg,image/jpeg,634436,2026-07-27T09:17:26+00:00,b2fdc94c908135a364056dd18b44a1a066bef997b6450f449204e2526e044828,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Julio/27-7/Promos 15 y 30_storys.jpg,image/jpeg,634596,2026-07-27T09:27:18+00:00,9a4b627fbc5cecd947f40e96db5c306d3622055c115c0d59bff7aed4793d786a,,2400x4128,Identidad oficial; selección visual y contraste
Catalogo/Julio/29-7/29-7.ai,application/postscript,413110,2026-07-29T15:50:32+00:00,2eda35dbd9b27abe23bf451d2419f8a25128924f7ff4e425409d63ca005c86af,,,Identidad oficial; selección visual y contraste
Catalogo/Julio/29-7/29-7.jpg,image/jpeg,1031199,2026-07-29T15:49:42+00:00,2161c275384969e2cfa20a7592a92e2cb2ce9c20876c264c479945ec64ae926a,,2250x3000,Identidad oficial; selección visual y contraste
Catalogo/Julio/7-7 interior.ai,application/postscript,400052,2026-07-07T08:16:30+00:00,df65c143aac62b90fa97ffe56860f8daf117416a5d6f304acf001e206538c2a2,,,Identidad oficial; selección visual y contraste
Catalogo/Junio/17-6/17-6 CATÁLOGO exterior.png,image/png,311673,2026-06-17T14:15:30+00:00,5e1ad88644b62c3cc59747c622d6c23a750b282a7c23b7d68a00b4cd0a1bbfb1,,4500x6000,Identidad oficial; selección visual y contraste
Catalogo/Junio/17-6/3-6.ai,application/postscript,428117,2026-06-17T14:41:30+00:00,5627ca530c27f0a9131ab34d51037b1794bc621624ed1f5ba16f637a3873c871,,,Identidad oficial; selección visual y contraste
Catalogo/Junio/17-6/NUEVA Tarjeta de fidelidad.png,image/png,1419427,2026-06-17T14:10:02+00:00,64d2374d39c3f0792087d689012be81e3c1587a75c05db168ef1b2da3f27796b,,4500x6000,Identidad oficial; selección visual y contraste
